id	metapop	alpha	alpha_imputed	pvalue	pvalue_imputed
ENSG00000066136	AFR	-1.14286		1.0	
ENSG00000066185	AFR	-2.2	0.0	0.34985	1.0
ENSG00000066279	AFR	0.04	0.375	1.0	0.30507
ENSG00000066294	AFR	-0.33333		1.0	
ENSG00000066322	AFR	0.0		1.0	
ENSG00000066557	AFR	-2.04762		0.37171	
ENSG00000067208	AFR	-1.25	-1.0	0.61687	0.6267
ENSG00000067334	AFR	-4.0	-0.33333	0.15347	1.0
ENSG00000067533	AFR	-2.0		0.4902	
ENSG00000067606	AFR	-0.59091		1.0	
ENSG00000067704	AFR	-4.41667	-2.75	0.02515	0.0911
ENSG00000069248	AFR	-1.55556	-1.0	0.25859	0.45372
ENSG00000069424	AFR	-0.55556	0.41667	0.71481	0.64793
ENSG00000069702	AFR	-0.8	0.55	0.5289	0.26666
ENSG00000070759	AFR	-15.8		0.02082	
ENSG00000070785	AFR	0.67568		0.13854	
ENSG00000070886	AFR	-1.54545	-0.75	0.08174	0.43196
ENSG00000073754	AFR	-3.5		0.18266	
ENSG00000073756	AFR	0.25		1.0	
ENSG00000074964	AFR	-0.72727	0.53086	0.27135	0.16077
ENSG00000075151	AFR	-3.2		0.04885	
ENSG00000075391	AFR	-4.57143		0.01644	
ENSG00000076258	AFR	-4.0		0.16747	
ENSG00000076356	AFR	-25.06897		1e-05	
ENSG00000076864	AFR	-9.0	-2.33333	0.03065	0.63675
ENSG00000077157	AFR	-17.6		0.00018	
ENSG00000077254	AFR	0.24242		1.0	
ENSG00000077522	AFR	-5.0	-1.0	0.11966	1.0
ENSG00000077549	AFR	-4.0	-4.0	0.54545	0.54545
ENSG00000078618	AFR	-5.81818		0.03359	
ENSG00000078808	AFR	0.36842		0.5815	
ENSG00000078900	AFR	0.42222		0.42983	
ENSG00000079277	AFR	-0.2037		1.0	
ENSG00000079335	AFR	0.83333		0.17271	
ENSG00000079739	AFR	-0.96		0.48263	
ENSG00000080910	AFR	0.46429		0.68879	
ENSG00000081019	AFR	-1.14286		1.0	
ENSG00000081026	AFR	0.25275		0.73639	
ENSG00000081237	AFR	-0.28646	0.63889	0.78879	0.11557
ENSG00000081248	AFR	-0.95122	0.33333	0.12498	0.36453
ENSG00000081277	AFR	-17.0	-8.0	0.00271	0.04963
ENSG00000081692	AFR	-1.66667		0.25153	
ENSG00000081870	AFR	-2.25		0.4424	
ENSG00000081985	AFR	-3.21667	0.08333	0.03337	1.0
ENSG00000082497	AFR	-2.0		0.55944	
ENSG00000082512	AFR	-0.22222		1.0	
ENSG00000083444	AFR	-2.01786	-0.2381	0.06006	1.0
ENSG00000084072	AFR	-2.5		0.44737	
ENSG00000084073	AFR	0.16667		1.0	
ENSG00000084636	AFR	-1.97744	0.57143	0.0779	0.30239
ENSG00000084652	AFR	-2.21429		0.37071	
ENSG00000085433	AFR	-4.14286		0.31078	
ENSG00000085465	AFR	-0.4375		0.57406	
ENSG00000085491	AFR	0.0	0.5	1.0	1.0
ENSG00000085552	AFR	-0.30719	0.60784	0.64656	0.11423
ENSG00000085831	AFR	-0.08791		1.0	
ENSG00000085832	AFR	-0.66154	0.4	0.50379	0.69561
ENSG00000085840	AFR	-1.28571		0.21793	
ENSG00000085998	AFR	-2.0		0.36967	
ENSG00000086015	AFR	-3.95	-0.46667	0.00924	0.74642
ENSG00000086619	AFR	-1.66667	0.0	0.41387	1.0
ENSG00000088035	AFR	-1.33333	-0.75	0.42831	0.68017
ENSG00000088280	AFR	-1.41071	-0.875	0.3166	0.48824
ENSG00000090020	AFR	0.51954		0.15134	
ENSG00000090273	AFR	-6.5		0.05929	
ENSG00000090432	AFR	-0.8		1.0	
ENSG00000090686	AFR	-1.5		0.64241	
ENSG00000091483	AFR	0.81481		0.27451	
ENSG00000092607	AFR	-3.66667	-0.75	0.11844	1.0
ENSG00000092621	AFR	-3.0		0.57647	
ENSG00000092850	AFR	-5.75	-0.5	0.0913	1.0
ENSG00000092853	AFR	-2.3		0.19223	
ENSG00000092978	AFR	0.125		1.0	
ENSG00000094963	AFR	-16.85714	-10.66667	0.00779	0.05634
ENSG00000094975	AFR	0.07071	0.55556	1.0	0.31202
ENSG00000097021	AFR	0.33333		1.0	
ENSG00000097033	AFR	-1.0		1.0	
ENSG00000097046	AFR	0.38889		1.0	
ENSG00000097096	AFR	-0.46667		0.59556	
ENSG00000099260	AFR	-1.0	-1.0	0.63491	0.63491
ENSG00000107404	AFR	-11.13333		0.0148	
ENSG00000116128	AFR	-1.33333		0.40725	
ENSG00000116133	AFR	-5.36364		0.10965	
ENSG00000116138	AFR	-0.18056	0.5	1.0	0.42537
ENSG00000116141	AFR	-0.75		1.0	
ENSG00000116147	AFR	-10.55	-1.625	0.00053	0.4455
ENSG00000116151	AFR	-2.1		0.09832	
ENSG00000116171	AFR	0.42857		1.0	
ENSG00000116183	AFR	-0.9951	0.08333	0.20174	1.0
ENSG00000116191	AFR	0.5		0.6016	
ENSG00000116194	AFR	-1.66667		0.40179	
ENSG00000116198	AFR	-0.47273	-0.09091	0.61004	1.0
ENSG00000116199	AFR	-0.33333		1.0	
ENSG00000116205	AFR	0.66667	0.77778	0.5467	0.51648
ENSG00000116209	AFR	0.5		1.0	
ENSG00000116212	AFR	-2.2		0.387	
ENSG00000116213	AFR	-1.0625		0.4837	
ENSG00000116221	AFR	-0.71429	-0.14286	0.46697	1.0
ENSG00000116254	AFR	-0.8027	0.01429	0.27525	1.0
ENSG00000116260	AFR	0.52381	0.82857	0.69245	0.10319
ENSG00000116266	AFR	-7.0		0.14087	
ENSG00000116285	AFR	0.69444		0.61462	
ENSG00000116288	AFR	-4.0		0.5	
ENSG00000116299	AFR	-0.75238	0.64444	0.5301	0.22623
ENSG00000116329	AFR	-3.0	-2.0	0.31469	0.58042
ENSG00000116337	AFR	0.61039		0.11027	
ENSG00000116353	AFR	0.66667	0.83333	0.6257	0.17328
ENSG00000116396	AFR	-11.22222		0.02011	
ENSG00000116406	AFR	0.59091		0.39264	
ENSG00000116455	AFR	-0.875		1.0	
ENSG00000116478	AFR	-2.0		0.58824	
ENSG00000116497	AFR	-1.0		0.64992	
ENSG00000116514	AFR	-0.8		1.0	
ENSG00000116525	AFR	0.33333		0.67437	
ENSG00000116539	AFR	-1.71528		0.07669	
ENSG00000116544	AFR	-1.18182		0.66552	
ENSG00000116580	AFR	-1.2193		0.10901	
ENSG00000116584	AFR	0.38462		0.54337	
ENSG00000116604	AFR	0.33333		1.0	
ENSG00000116641	AFR	-1.5	0.16667	0.08534	0.78123
ENSG00000116649	AFR	-2.75		0.55808	
ENSG00000116661	AFR	-0.25		1.0	
ENSG00000116663	AFR	-0.16667		1.0	
ENSG00000116668	AFR	0.125		1.0	
ENSG00000116670	AFR	-1.0		0.63287	
ENSG00000116675	AFR	-2.61111	-0.25	0.1137	1.0
ENSG00000116678	AFR	-0.05769	0.42308	1.0	0.40433
ENSG00000116679	AFR	0.0		1.0	
ENSG00000116685	AFR	-2.0		0.61582	
ENSG00000116688	AFR	-1.5		0.42928	
ENSG00000116690	AFR	-1.09032	-0.16129	0.12649	0.81116
ENSG00000116691	AFR	0.05		1.0	
ENSG00000116698	AFR	-2.73333		0.17974	
ENSG00000116701	AFR	-0.28571		1.0	
ENSG00000116703	AFR	-1.0		1.0	
ENSG00000116704	AFR	-2.0		0.55944	
ENSG00000116726	AFR	-0.07812	0.5	1.0	0.42205
ENSG00000116729	AFR	-0.85714	0.57143	0.47345	0.41486
ENSG00000116731	AFR	-1.17284	-0.77778	0.1535	0.33225
ENSG00000116741	AFR	-3.0		0.56488	
ENSG00000116745	AFR	-1.22222	-1.0	0.43478	0.68284
ENSG00000116747	AFR	-1.2		0.44095	
ENSG00000116748	AFR	-1.0		0.6454	
ENSG00000116761	AFR	-24.0		0.01282	
ENSG00000116771	AFR	-1.0	-0.5	0.65702	1.0
ENSG00000116783	AFR	-0.03636		1.0	
ENSG00000116785	AFR	-0.42857	-0.42857	1.0	1.0
ENSG00000116786	AFR	-1.56	0.46667	0.2014	0.46107
ENSG00000116791	AFR	-3.66667	-3.0	0.31373	0.33824
ENSG00000116793	AFR	-0.8		1.0	
ENSG00000116809	AFR	-1.76923		0.4157	
ENSG00000116815	AFR	-0.71429	0.42857	1.0	1.0
ENSG00000116819	AFR	0.28571	0.5	1.0	1.0
ENSG00000116824	AFR	0.0		1.0	
ENSG00000116830	AFR	-0.24	0.4	0.76479	0.53843
ENSG00000116833	AFR	0.14286	0.66667	1.0	0.36985
ENSG00000116852	AFR	-3.32432		0.25232	
ENSG00000116857	AFR	0.33333		1.0	
ENSG00000116863	AFR	-3.16667	-1.5	0.31469	0.59207
ENSG00000116871	AFR	0.33333		0.70548	
ENSG00000116882	AFR	-0.75		1.0	
ENSG00000116885	AFR	0.625		0.61262	
ENSG00000116898	AFR	-0.6		1.0	
ENSG00000116906	AFR	-0.8	-0.8	0.69217	0.69217
ENSG00000116922	AFR	-0.33333		1.0	
ENSG00000116957	AFR	-2.125	-0.66667	0.22848	0.67919
ENSG00000116962	AFR	-1.97414		0.02619	
ENSG00000116977	AFR	-0.66667		0.68539	
ENSG00000116981	AFR	-4.25		0.19322	
ENSG00000116984	AFR	-1.1	-0.86667	0.19904	0.30043
ENSG00000116985	AFR	-0.1	0.0	1.0	1.0
ENSG00000116990	AFR	0.65		0.60003	
ENSG00000116991	AFR	-1.25	-0.25	0.19683	0.78214
ENSG00000116996	AFR	-4.42857		0.01366	
ENSG00000117000	AFR	-4.43056	-1.83333	0.00692	0.13653
ENSG00000117009	AFR	0.25		1.0	
ENSG00000117010	AFR	0.0	0.8	1.0	0.31469
ENSG00000117013	AFR	0.0		1.0	
ENSG00000117036	AFR	0.58333		0.60784	
ENSG00000117054	AFR	-0.11111	0.66667	1.0	0.58042
ENSG00000117069	AFR	-1.5		1.0	
ENSG00000117090	AFR	-0.5		1.0	
ENSG00000117091	AFR	0.42857	0.66667	1.0	0.32867
ENSG00000117114	AFR	-1.85714		0.18311	
ENSG00000117115	AFR	-4.13333	-0.4	0.06602	1.0
ENSG00000117122	AFR	0.71429		0.53846	
ENSG00000117139	AFR	-0.33333		0.78917	
ENSG00000117143	AFR	-4.6		0.29412	
ENSG00000117148	AFR	-5.0	-1.0	0.28205	1.0
ENSG00000117151	AFR	-3.0	0.25	0.29945	1.0
ENSG00000117153	AFR	0.11111		1.0	
ENSG00000117154	AFR	-5.3		0.18954	
ENSG00000117155	AFR	-2.2	-1.0	0.34985	0.63287
ENSG00000117174	AFR	-0.5		1.0	
ENSG00000117222	AFR	0.1		1.0	
ENSG00000117226	AFR	-5.4		0.1925	
ENSG00000117228	AFR	-2.85714		0.2108	
ENSG00000117245	AFR	-2.08	-0.57143	0.0558	0.57084
ENSG00000117266	AFR	-1.16667		0.58893	
ENSG00000117281	AFR	-17.0		0.08788	
ENSG00000117298	AFR	-0.51515		0.55527	
ENSG00000117305	AFR	-0.5		1.0	
ENSG00000117308	AFR	-3.0		0.52819	
ENSG00000117322	AFR	-3.66667	-1.0	0.05403	0.45779
ENSG00000117335	AFR	-0.28571		1.0	
ENSG00000117362	AFR	-2.0		1.0	
ENSG00000117385	AFR	-1.87179	-0.16667	0.11119	1.0
ENSG00000117394	AFR	0.51786		0.66564	
ENSG00000117399	AFR	0.85714		0.04262	
ENSG00000117400	AFR	-0.33333	0.0	1.0	1.0
ENSG00000117410	AFR	0.0		1.0	
ENSG00000117411	AFR	-5.0		0.09953	
ENSG00000117425	AFR	-4.31667		0.0164	
ENSG00000117448	AFR	-4.5		0.27218	
ENSG00000117472	AFR	-0.25		1.0	
ENSG00000117475	AFR	-1.66667		0.56044	
ENSG00000117477	AFR	-3.0	-1.0	0.52048	1.0
ENSG00000117480	AFR	-0.83333	0.11111	0.66522	1.0
ENSG00000117501	AFR	0.72789	0.80952	0.04829	0.01093
ENSG00000117519	AFR	-1.0		1.0	
ENSG00000117523	AFR	-0.53846	0.2	0.47013	0.62308
ENSG00000117525	AFR	-5.6		0.25531	
ENSG00000117560	AFR	0.5		1.0	
ENSG00000117569	AFR	0.625		1.0	
ENSG00000117586	AFR	0.66667		1.0	
ENSG00000117593	AFR	-0.44		1.0	
ENSG00000117597	AFR	-1.59091	-0.5	0.27426	0.71195
ENSG00000117600	AFR	-8.625		0.04326	
ENSG00000117601	AFR	-1.0		0.62704	
ENSG00000117614	AFR	-8.33333		0.11888	
ENSG00000117616	AFR	-1.57143		0.17572	
ENSG00000117640	AFR	0.71795	0.74359	0.17431	0.16978
ENSG00000117643	AFR	-1.625	-0.5	0.39978	1.0
ENSG00000117650	AFR	0.0	0.5	1.0	1.0
ENSG00000117676	AFR	-0.3		1.0	
ENSG00000117682	AFR	-13.0		0.04977	
ENSG00000117697	AFR	0.57143	0.66667	0.61858	0.58824
ENSG00000117713	AFR	-6.57895		0.06399	
ENSG00000117724	AFR	-0.92857		0.07302	
ENSG00000117748	AFR	-5.0		0.49091	
ENSG00000117791	AFR	-0.15385		1.0	
ENSG00000117834	AFR	-8.3		0.00071	
ENSG00000117859	AFR	-9.625		0.05901	
ENSG00000118193	AFR	-0.76786	0.5	0.31772	0.26397
ENSG00000118194	AFR	-1.77778	0.16667	0.61927	1.0
ENSG00000118197	AFR	-0.42857	0.64286	0.71163	0.387
ENSG00000118200	AFR	0.16667	0.16667	1.0	1.0
ENSG00000118217	AFR	-0.45833	0.65	0.71934	0.35
ENSG00000118292	AFR	-1.0		1.0	
ENSG00000118298	AFR	0.74286		0.34156	
ENSG00000118454	AFR	-1.5		0.6044	
ENSG00000118473	AFR	-3.87879		0.06441	
ENSG00000118655	AFR	-4.14286		0.31078	
ENSG00000118733	AFR	-3.0		0.20433	
ENSG00000118873	AFR	-9.4	-7.0	0.00762	0.02456
ENSG00000119280	AFR	0.61111	0.66667	0.39986	0.37285
ENSG00000119283	AFR	-1.65909		0.29616	
ENSG00000119285	AFR	-1.70175	-0.48485	0.08059	0.59723
ENSG00000119535	AFR	-0.25	-0.08333	0.79743	1.0
ENSG00000120332	AFR	-0.1462		0.83987	
ENSG00000120334	AFR	0.52		0.63707	
ENSG00000120341	AFR	-0.53036	0.01099	0.43854	1.0
ENSG00000120370	AFR	0.52381	0.66667	0.44948	0.24752
ENSG00000120656	AFR	0.375		1.0	
ENSG00000120942	AFR	-1.0		0.63801	
ENSG00000120949	AFR	-1.5974	0.52381	0.14041	0.28022
ENSG00000121310	AFR	-3.0		0.29945	
ENSG00000121446	AFR	-0.40909	0.09091	0.71889	1.0
ENSG00000121454	AFR	-1.0		1.0	
ENSG00000121486	AFR	0.75		0.32127	
ENSG00000121634	AFR	-1.0		1.0	
ENSG00000121753	AFR	-0.57143	-0.2	0.74225	1.0
ENSG00000121764	AFR	0.40476	0.58333	0.72068	0.28831
ENSG00000121900	AFR	-3.5		0.51786	
ENSG00000121903	AFR	0.77778	0.83333	0.07587	0.06043
ENSG00000121904	AFR	-2.20339	-1.33333	0.00091	0.01821
ENSG00000121940	AFR	-0.7	0.4	0.49773	0.69645
ENSG00000121957	AFR	-2.42857	-2.0	0.22754	0.41098
ENSG00000122180	AFR	0.45455		0.61262	
ENSG00000122188	AFR	-2.25		0.35749	
ENSG00000122218	AFR	-2.63636		0.36443	
ENSG00000122223	AFR	0.8	0.93333	0.19622	0.01843
ENSG00000122224	AFR	-0.25		0.78823	
ENSG00000122417	AFR	0.63889		0.28633	
ENSG00000122420	AFR	0.64286		0.61991	
ENSG00000122435	AFR	-0.125	0.0	1.0	1.0
ENSG00000122477	AFR	0.2		1.0	
ENSG00000122481	AFR	-0.75		1.0	
ENSG00000122482	AFR	-4.0625		0.02233	
ENSG00000122483	AFR	0.48901	0.84615	0.51848	0.02015
ENSG00000122484	AFR	-8.6	-2.0	0.07028	1.0
ENSG00000122497	AFR	0.28571	0.28571	1.0	1.0
ENSG00000123472	AFR	-0.5		1.0	
ENSG00000123473	AFR	-1.4	0.36842	0.23971	0.71426
ENSG00000123838	AFR	0.4	0.5	0.70339	0.4505
ENSG00000123843	AFR	-0.75	-0.5	0.64367	1.0
ENSG00000125459	AFR	-1.5		1.0	
ENSG00000125462	AFR	-0.25		1.0	
ENSG00000125945	AFR	-2.0		0.40688	
ENSG00000126088	AFR	-8.0		0.22222	
ENSG00000126091	AFR	-0.12	0.2	1.0	1.0
ENSG00000126107	AFR	-2.2	0.0	0.26033	1.0
ENSG00000126698	AFR	-1.33333		1.0	
ENSG00000126705	AFR	-2.20833		0.04546	
ENSG00000126709	AFR	0.5		1.0	
ENSG00000127054	AFR	0.7	0.83333	0.11188	0.01952
ENSG00000127124	AFR	-1.16228	-0.18713	0.0385	0.71656
ENSG00000127125	AFR	0.54286		0.4507	
ENSG00000127423	AFR	-2.25	0.25	0.31849	1.0
ENSG00000127463	AFR	-23.81818	-6.8	0.00029	0.09401
ENSG00000127481	AFR	-4.48497	-1.7037	0.0	0.01085
ENSG00000127603	AFR	-0.66633	0.25	0.02273	0.23745
ENSG00000130695	AFR	-2.75		0.19806	
ENSG00000130762	AFR	0.35946	0.81277	0.31923	0.00043
ENSG00000130764	AFR	0.0	0.41667	1.0	0.49131
ENSG00000130766	AFR	-0.45455		1.0	
ENSG00000130768	AFR	-2.25	-1.0	0.15706	0.45894
ENSG00000130775	AFR	0.7037	0.83333	0.23368	0.0805
ENSG00000130939	AFR	-0.2		1.0	
ENSG00000130940	AFR	-0.47059	0.75	0.47159	0.04554
ENSG00000131233	AFR	0.35714		1.0	
ENSG00000131236	AFR	0.80952		0.19322	
ENSG00000131238	AFR	-3.5		0.29293	
ENSG00000131584	AFR	0.84471		7e-05	
ENSG00000131591	AFR	0.34615	0.69231	0.73101	0.15706
ENSG00000131686	AFR	-0.40741		0.75539	
ENSG00000131697	AFR	-0.36765	0.7	0.50961	0.01491
ENSG00000131778	AFR	-2.62963	-1.91667	0.08243	0.17216
ENSG00000131781	AFR	-0.18519		1.0	
ENSG00000131788	AFR	-1.66667		0.63282	
ENSG00000131914	AFR	0.75		0.54545	
ENSG00000132122	AFR	-1.66667		0.37652	
ENSG00000132128	AFR	-0.27778		1.0	
ENSG00000132185	AFR	-3.25		0.28964	
ENSG00000132196	AFR	-1.5		0.6044	
ENSG00000132676	AFR	0.44444	0.44444	0.69217	0.69217
ENSG00000132677	AFR	-0.28571		1.0	
ENSG00000132681	AFR	0.50649	0.72857	0.10111	0.00748
ENSG00000132688	AFR	-0.01449	0.13043	1.0	0.81089
ENSG00000132692	AFR	-1.59615		0.20003	
ENSG00000132693	AFR	0.5		1.0	
ENSG00000132694	AFR	-1.3625	-1.25	0.22054	0.22673
ENSG00000132702	AFR	-0.5		1.0	
ENSG00000132703	AFR	0.5		1.0	
ENSG00000132704	AFR	0.12698		1.0	
ENSG00000132763	AFR	-3.0	-3.0	0.33781	0.33781
ENSG00000132768	AFR	-3.0		0.38647	
ENSG00000132773	AFR	-0.2		1.0	
ENSG00000132780	AFR	-3.25		0.28388	
ENSG00000132781	AFR	0.72917	0.83333	0.37148	0.17596
ENSG00000132849	AFR	-1.95385	-0.40659	0.02194	0.63122
ENSG00000132854	AFR	0.04563	0.59877	1.0	0.06015
ENSG00000132855	AFR	0.4	0.5	1.0	1.0
ENSG00000132879	AFR	0.45	0.8	1.0	0.3007
ENSG00000132881	AFR	-2.33333		0.36185	
ENSG00000132906	AFR	-2.42857	-1.0	0.54416	1.0
ENSG00000133019	AFR	-1.66667		0.40179	
ENSG00000133048	AFR	-4.0		0.15347	
ENSG00000133055	AFR	0.4375	0.8125	0.70825	0.1107
ENSG00000133056	AFR	-0.12821	0.84286	1.0	0.00537
ENSG00000133063	AFR	-0.86667		0.47481	
ENSG00000133067	AFR	0.64706	0.67059	0.07075	0.04031
ENSG00000133069	AFR	-0.09091		1.0	
ENSG00000133216	AFR	-9.45		0.01689	
ENSG00000134201	AFR	-0.625	-0.55556	0.48223	0.71257
ENSG00000134202	AFR	-5.0		0.41667	
ENSG00000134207	AFR	-2.0	0.0	0.55957	1.0
ENSG00000134215	AFR	-4.6	-1.0	0.06296	0.65925
ENSG00000134240	AFR	-3.0		0.33105	
ENSG00000134242	AFR	-0.73333		0.62139	
ENSG00000134243	AFR	-11.5		0.10256	
ENSG00000134245	AFR	0.34545	0.81818	0.70114	0.06865
ENSG00000134247	AFR	0.41964	0.52381	0.50548	0.30732
ENSG00000134248	AFR	-3.0		0.58042	
ENSG00000134249	AFR	-2.07692	-0.84615	0.08277	0.36844
ENSG00000134250	AFR	-0.2		0.79587	
ENSG00000134253	AFR	0.0		1.0	
ENSG00000134256	AFR	-0.22353		0.81549	
ENSG00000134258	AFR	0.25		1.0	
ENSG00000134259	AFR	-4.0	-4.0	0.3007	0.3007
ENSG00000134262	AFR	-3.28571	-1.0	0.17405	0.64241
ENSG00000134365	AFR	-0.26	0.84444	0.77012	0.01526
ENSG00000134369	AFR	-0.90404		0.29625	
ENSG00000134375	AFR	0.0		1.0	
ENSG00000134376	AFR	-0.57895		0.43957	
ENSG00000134389	AFR	0.2	0.5	1.0	0.47093
ENSG00000134644	AFR	-1.5		0.40652	
ENSG00000134668	AFR	0.1746		0.79362	
ENSG00000134684	AFR	-1.0		1.0	
ENSG00000134686	AFR	-4.07692	-0.5	0.11092	1.0
ENSG00000134697	AFR	-0.08571		1.0	
ENSG00000134709	AFR	-1.625		0.60268	
ENSG00000134716	AFR	0.16667		1.0	
ENSG00000134744	AFR	0.05921		1.0	
ENSG00000135744	AFR	-6.77143		0.00265	
ENSG00000135747	AFR	-0.43182		0.74165	
ENSG00000135749	AFR	-1.82258		0.00808	
ENSG00000135750	AFR	-13.0	-6.0	0.0281	0.28205
ENSG00000135763	AFR	-0.26923	0.33333	0.67729	0.37743
ENSG00000135773	AFR	-2.75	-0.8	0.30654	0.64831
ENSG00000135775	AFR	-5.0	-2.0	0.01952	0.26725
ENSG00000135776	AFR	-5.0		0.26425	
ENSG00000135778	AFR	-0.71429		1.0	
ENSG00000135801	AFR	-0.875	0.0	1.0	1.0
ENSG00000135828	AFR	0.15556		1.0	
ENSG00000135835	AFR	-1.16827	0.54167	0.06334	0.09183
ENSG00000135837	AFR	-1.68687		0.02167	
ENSG00000135838	AFR	0.42857		1.0	
ENSG00000135842	AFR	-0.5	0.625	0.53781	0.17529
ENSG00000135862	AFR	-0.93548	0.45455	0.22966	0.37185
ENSG00000135870	AFR	-5.66667		0.17826	
ENSG00000136628	AFR	-7.8	-1.66667	0.00392	0.43315
ENSG00000136630	AFR	-7.66667	-7.0	0.05357	0.11958
ENSG00000136631	AFR	-2.2	-1.0	0.55	1.0
ENSG00000136634	AFR	0.25		1.0	
ENSG00000136643	AFR	-11.85714		0.02169	
ENSG00000137936	AFR	-0.86667	0.5	0.35561	0.31423
ENSG00000137941	AFR	-4.625		0.17902	
ENSG00000137944	AFR	-0.8		0.64241	
ENSG00000137948	AFR	-1.16667	-0.5	0.29234	0.71813
ENSG00000137959	AFR	-2.47222		0.12417	
ENSG00000137960	AFR	0.0303	0.27273	1.0	0.7241
ENSG00000137962	AFR	-0.53535		0.54622	
ENSG00000137965	AFR	-0.33333		0.73066	
ENSG00000137968	AFR	-0.55556		0.74105	
ENSG00000137975	AFR	0.56667	0.86667	0.4264	0.06571
ENSG00000137992	AFR	-29.0		0.03297	
ENSG00000137996	AFR	0.125		1.0	
ENSG00000142224	AFR	-0.33333	-0.33333	1.0	1.0
ENSG00000142583	AFR	-0.96		0.48263	
