id	pop	DAF0f	DAF4f	p0	pi	di	d0	chr	mi	m0	recomb
FBgn0000045	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	3.0	0.0	0.0	19.0	3L	730	191	0.138451709
FBgn0000046	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0	14.0	0.0	0.0	5.0	3R	732	190	0.7616989759999999
FBgn0000047	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0	4.0	0.0	0.0	9.0	3R	733	187	5.440706971
FBgn0000052	RAL	29;5;4;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;5	28;7;3;1;2;3;0;0;0;0;0;2;0;2;1;0;2;2;4;3	60.0	49.0	18.0	64.0	2L	2579	697	2.345501386
FBgn0000053	RAL	30;6;8;2;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1	36;9;10;6;0;0;0;4;2;0;3;4;2;5;1;0;3;2;4;4	95.0	51.0	21.0	61.0	2L	2556	733	10.20293103
FBgn0000054	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	0.0	1.0	5.0	2R	523	118	0.542320919
FBgn0000055	RAL	2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;0;1;0;2;1;0;0;1;1;0;0;0;0;1;0;1	10.0	3.0	2.0	5.0	2L	493	138	3.7528022169999997
FBgn0000056	RAL	4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0	6.0	5.0	2.0	14.0	2L	548	114	3.7528022169999997
FBgn0000057	RAL	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0	15.0	3.0	18.0	18.0	2R	1188	292	3.145461328
FBgn0000061	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8.0	2.0	2.0	11.0	2L	785	248	0.234550139
FBgn0000063	RAL	4;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0	5;1;0;1;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0	13.0	9.0	18.0	22.0	3R	1341	300	1.632212091
FBgn0000064	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1	11.0	0.0	7.0	7.0	3R	686	195	1.196955534
FBgn0000071	RAL	1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6.0	2.0	4.0	6.0	3R	655	179	0.0
FBgn0000075	RAL	7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;0;1;0;0;1;0;0;1;2;1;1;0;0;2;0;0;0;0;0	14.0	7.0	1.0	20.0	2L	977	245	0.469100277
FBgn0000077	RAL	1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0	3.0	3.0	3.0	14.0	X	548	121	2.9837820039999996
FBgn0000078	RAL	3;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0	4;3;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0	10.0	7.0	5.0	8.0	2R	964	247	2.92853296
FBgn0000079	RAL	3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1	5;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2	12.0	8.0	5.0	4.0	2R	964	247	2.92853296
FBgn0000083	RAL	1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0	4;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0	7.0	2.0	0.0	3.0	3R	620	145	1.088141394
FBgn0000084	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	614	160	2.712529095
FBgn0000092	RAL	4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0	9.0	5.0	13.0	9.0	X	496	121	2.079605639
FBgn0000094	RAL	3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0	2.0	4.0	8.0	0.0	3R	114	26	2.829167625
FBgn0000097	RAL	7;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0	8;1;2;1;2;2;0;2;1;1;0;2;1;0;0;0;1;0;0;0	24.0	9.0	7.0	16.0	2L	1428	378	1.64185097
FBgn0000099	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	2R	906	218	1.193106021
FBgn0000100	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1.0	2.0	0.0	9.0	3L	615	159	0.0
FBgn0000108	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	1714	436	0.0
FBgn0000109	RAL	2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0	5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	7.0	8.0	0.0	11.0	3L	341	98	3.1843893089999997
FBgn0000114	RAL	5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;1;1;1;0;1;0;1;1;1;1;1;0;2;0;0;0;0;1;0	22.0	6.0	8.0	5.0	2L	1551	381	4.221902494
FBgn0000115	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	3.0	0.0	0.0	2.0	3L	344	88	2.492130764
FBgn0000116	RAL	12;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0	3;2;0;0;1;0;1;0;0;2;3;0;0;0;0;0;0;1;0;0	13.0	17.0	2.0	12.0	3L	1088	291	1.107613673
FBgn0000117	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	1617	444	0.18083527300000002
FBgn0000119	RAL	13;6;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1	23;17;4;2;7;2;3;5;1;4;3;4;2;4;0;3;2;1;0;2	89.0	24.0	2.0	60.0	2R	3245	798	1.73542694
FBgn0000120	RAL	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2	3;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0	7.0	7.0	3.0	15.0	2L	697	169	0.938200554
FBgn0000121	RAL	4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	16;3;3;0;2;2;1;0;1;0;0;0;1;1;1;0;1;0;0;2	34.0	5.0	0.0	5.0	3L	779	182	3.6689702910000004
FBgn0000137	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	952	206	0.0
FBgn0000139	RAL	3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0	5;1;0;1;0;1;0;1;0;2;3;2;0;0;0;0;0;0;0;1	17.0	5.0	6.0	20.0	3R	1071	248	2.611539346
FBgn0000140	RAL	37;4;4;1;0;0;0;0;0;0;0;0;0;0;0;1;3;4;1;3	28;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2	42.0	58.0	42.0	51.0	3R	3666	880	3.69968074
FBgn0000146	RAL	4;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0	10;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0	15.0	7.0	93.0	32.0	2L	1687	384	2.931876732
FBgn0000147	RAL	2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0	3;2;1;2;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0	11.0	8.0	10.0	17.0	3R	788	198	0.7616989759999999
FBgn0000150	RAL	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	1.0	1.0	5.0	3R	331	87	0.0
FBgn0000152	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;0;0;1;1;1;0;1;0;1;0;2;1;3;0;0;0;0;0;0	17.0	2.0	0.0	13.0	X	1216	288	2.531693822
FBgn0000153	RAL	6;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1	9;2;3;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0	19.0	11.0	2.0	21.0	2L	1113	269	2.2282263159999998
FBgn0000157	RAL	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	5.0	0.0	4.0	2R	680	190	3.579318063
FBgn0000158	RAL	5;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0	6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0	9.0	10.0	60.0	17.0	3R	849	188	2.393911067
FBgn0000163	RAL	9;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0	11;2;2;1;0;0;1;1;6;2;1;1;0;0;0;0;1;2;2;1	34.0	12.0	11.0	48.0	X	2914	791	0.994594001
FBgn0000166	RAL	1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	1.0	2.0	3.0	4.0	3R	968	235	0.0
FBgn0000173	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	8.0	X	290	70	5.063387644
FBgn0000179	RAL	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1	11.0	3.0	208.0	56.0	X	1979	543	2.9837820039999996
FBgn0000180	RAL	9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;2;3;1;2;0;0;1;0;1;0;1;1;1;0;0;1;0;4;1	23.0	10.0	8.0	21.0	2L	1440	376	1.524575901
FBgn0000181	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1.0	0.0	1.0	4.0	2R	330	87	1.518498572
FBgn0000182	RAL	3;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0	9;1;0;0;2;0;0;0;0;2;0;1;0;1;0;0;1;1;1;0	19.0	6.0	3.0	16.0	2L	1736	465	0.469100277
FBgn0000183	RAL	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	11;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0	14.0	5.0	5.0	16.0	2L	1496	345	1.64185097
FBgn0000206	RAL	13;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0	16;1;0;1;0;0;1;0;4;1;1;1;0;0;0;1;0;1;0;5	33.0	19.0	8.0	32.0	3R	1724	436	2.393911067
FBgn0000210	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	1922	553	0.36167054600000004
FBgn0000212	RAL	8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0	17;1;0;2;1;0;0;2;0;0;1;0;1;3;0;0;1;1;0;0	30.0	9.0	112.0	59.0	3L	3203	754	2.492130764
FBgn0000216	RAL	2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1.0	3.0	4.0	1.0	3L	162	35	0.34612927299999996
FBgn0000221	RAL	4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0	3;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0	8.0	5.0	8.0	11.0	X	603	165	5.605893462999999
FBgn0000227	RAL	12;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0	5;6;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;2;0	21.0	18.0	8.0	13.0	2L	692	162	1.759126039
FBgn0000228	RAL	27;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2	20;4;0;1;1;1;0;1;0;4;1;0;0;0;2;0;0;0;0;9	44.0	33.0	13.0	32.0	2L	2098	499	7.036504157
FBgn0000229	RAL	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0	7.0	1.0	0.0	4.0	2L	735	148	6.56740388
FBgn0000233	RAL	4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1	8.0	4.0	2.0	7.0	X	1262	343	3.164617277
FBgn0000239	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	2L	1296	327	0.35182520799999994
FBgn0000244	RAL	8;2;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0	3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4.0	13.0	9.0	24.0	3R	1374	385	0.0
FBgn0000246	RAL	14;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0	8;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0	10.0	18.0	70.0	30.0	3R	1443	245	2.829167625
FBgn0000247	RAL	20;1;4;0;0;0;1;1;1;0;0;2;0;1;1;0;0;0;1;0	26;7;8;3;2;0;0;3;1;5;4;4;3;0;0;0;2;1;1;1	71.0	33.0	27.0	43.0	3R	3754	902	2.393911067
FBgn0000250	RAL	5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0	4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0	8.0	6.0	4.0	14.0	2L	969	235	3.518252078
FBgn0000251	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0	3.0	0.0	0.0	3.0	2L	876	224	0.234550139
FBgn0000253	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	0.0	0.0	2.0	2R	299	59	5.857065921
FBgn0000256	RAL	27;8;1;1;6;3;1;2;1;0;1;0;0;0;0;0;1;1;1;0	17;5;3;4;0;1;1;5;3;0;1;0;0;1;3;2;0;0;1;3	50.0	54.0	25.0	27.0	2L	2625	709	7.505604433999999
FBgn0000257	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0	8.0	2.0	4.0	22.0	X	1178	332	4.972970007
FBgn0000259	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	462	96	0.452088182
FBgn0000261	RAL	2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	7;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0	12.0	3.0	8.0	9.0	3L	986	227	1.038387818
FBgn0000273	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	14.0	0.0	0.0	3.0	2L	673	160	3.16642687
FBgn0000274	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1	5.0	0.0	3.0	7.0	3R	680	150	1.4145838119999998
FBgn0000276	RAL	0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0	9.0	2.0	1.0	0.0	3R	124	33	2.829167625
FBgn0000277	RAL	1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1	0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1	4.0	3.0	9.0	9.0	3R	124	33	2.829167625
FBgn0000278	RAL	1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	1.0	2.0	1.0	1.0	3R	123	32	2.829167625
FBgn0000279	RAL	2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5.0	3.0	0.0	3.0	3R	124	31	2.829167625
FBgn0000283	RAL	8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2	13.0	9.0	37.0	39.0	3R	2130	475	1.84984037
FBgn0000286	RAL	4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0	3.0	5.0	5.0	11.0	2L	989	241	9.499280611
FBgn0000287	RAL	26;3;5;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0	20;10;7;5;2;0;3;3;1;0;0;0;2;0;1;2;4;0;1;0	61.0	41.0	11.0	33.0	2L	2458	598	2.345501386
FBgn0000289	RAL	1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0	3;2;1;0;0;0;1;0;0;0;3;0;2;0;0;0;0;0;0;0	12.0	2.0	4.0	17.0	2R	1615	415	3.6877822460000003
FBgn0000299	RAL	8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0	13;0;2;3;1;0;0;0;0;0;0;0;0;0;1;2;0;2;3;5	32.0	11.0	142.0	129.0	2L	3455	1122	5.511928256
FBgn0000303	RAL	5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	4;2;3;2;1;4;1;0;0;0;0;0;0;0;1;1;0;0;0;0	19.0	7.0	47.0	33.0	3R	0	0	1.4145838119999998
FBgn0000307	RAL	27;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2	18;2;0;2;0;0;0;0;0;2;1;0;0;1;0;1;0;0;1;1	29.0	33.0	42.0	58.0	2L	3333	768	3.518252078
FBgn0000308	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1.0	0.0	1.0	0.0	2L	245	63	2.2282263159999998
FBgn0000313	RAL	14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0	16;1;3;5;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;2	35.0	15.0	4.0	46.0	3R	2523	570	0.544070697
FBgn0000316	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	1155	291	0.0
FBgn0000317	RAL	11;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0	40;8;6;3;4;1;1;6;5;3;3;5;1;0;0;6;5;1;4;5	107.0	14.0	0.0	58.0	2L	4113	950	1.172750693
FBgn0000318	RAL	3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4.0	4.0	2.0	4.0	2L	249	50	4.221902494
FBgn0000319	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	3203	736	2.8933643680000003
FBgn0000320	RAL	11;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0	4;1;1;0;0;1;3;0;0;0;1;0;2;1;0;0;2;0;1;3	20.0	13.0	5.0	17.0	2L	1494	411	3.4009770089999996
FBgn0000326	RAL	15;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0	15;3;1;0;2;0;0;0;0;0;0;0;0;1;3;2;0;1;1;1	30.0	21.0	11.0	18.0	2R	1078	248	5.097816635
FBgn0000330	RAL	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;1;2;0;0;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0	11.0	1.0	3.0	20.0	X	797	205	2.8933643680000003
FBgn0000337	RAL	5;0;0;0;0;2;0;0;1;1;0;1;0;0;0;0;1;0;0;0	3;1;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0	9.0	11.0	8.0	23.0	2R	842	214	0.32539255100000003
FBgn0000339	RAL	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	1.0	1.0	2.0	2L	279	59	3.518252078
FBgn0000346	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4.0	0.0	8.0	17.0	X	1422	359	3.164617277
FBgn0000351	RAL	5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0	14.0	6.0	4.0	13.0	2L	941	208	3.7528022169999997
FBgn0000352	RAL	9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	11;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1	16.0	11.0	28.0	48.0	2R	2285	574	0.759249286
