id	pop	DAF0f	DAF4f	p0	pi	di	d0	chr	name	mi	m0	recomb
FBgn0000044	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0	10.0	0.0	0.0	7.0	2R	Act57B	732	191	7.158636125
FBgn0000044	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	10.0	0.0	0.0	8.0	2R	Act57B	732	191	7.158636125
FBgn0000045	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	3.0	0.0	0.0	19.0	3L	Act79B	730	191	0.138451709
FBgn0000045	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	20.0	3L	Act79B	730	191	0.138451709
FBgn0000046	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0	14.0	0.0	0.0	5.0	3R	Act87E	732	190	0.7616989759999999
FBgn0000046	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	18;4;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0	26.0	0.0	0.0	5.0	3R	Act87E	732	190	0.7616989759999999
FBgn0000047	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0	4.0	0.0	0.0	9.0	3R	Act88F	733	187	5.440706971
FBgn0000047	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	18;3;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0	26.0	0.0	0.0	6.0	3R	Act88F	733	187	5.440706971
FBgn0000052	RAL	29;5;4;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;5	28;7;3;1;2;3;0;0;0;0;0;2;0;2;1;0;2;2;4;3	60.0	49.0	18.0	64.0	2L	ade2	3118	787	2.345501386
FBgn0000052	ZI	94;6;12;2;2;0;1;2;0;0;0;0;0;0;0;0;0;1;2;2	57;4;10;7;5;1;5;5;0;2;0;2;1;2;0;0;2;3;0;4	110.0	124.0	16.0	55.0	2L	ade2	3118	787	2.345501386
FBgn0000053	RAL	30;6;8;2;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1	36;9;10;6;0;0;0;4;2;0;3;4;2;5;1;0;3;2;4;4	95.0	51.0	21.0	61.0	2L	ade3	3228	682	10.20293103
FBgn0000053	ZI	91;4;7;3;1;3;1;1;0;0;0;1;0;0;0;0;0;0;0;3	66;10;10;9;9;1;2;1;4;3;0;1;2;1;3;1;4;3;3;3	136.0	115.0	19.0	55.0	2L	ade3	3228	682	10.20293103
FBgn0000054	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	0.0	1.0	5.0	2R	Adf1	523	118	0.542320919
FBgn0000054	ZI	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	3.0	1.0	1.0	5.0	2R	Adf1	523	118	0.542320919
FBgn0000055	RAL	2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;0;1;0;2;1;0;0;1;1;0;0;0;0;1;0;1	10.0	3.0	2.0	5.0	2L	Adh	493	138	3.7528022169999997
FBgn0000055	ZI	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	16;3;1;2;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0	26.0	5.0	2.0	6.0	2L	Adh	493	138	3.7528022169999997
FBgn0000056	RAL	4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0	6.0	5.0	2.0	14.0	2L	Adhr	548	114	3.7528022169999997
FBgn0000056	ZI	6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	12;4;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3	23.0	8.0	1.0	10.0	2L	Adhr	548	114	3.7528022169999997
FBgn0000057	RAL	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0	15.0	3.0	18.0	18.0	2R	adp	1188	292	3.145461328
FBgn0000057	ZI	8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	22;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2	32.0	9.0	17.0	14.0	2R	adp	1188	292	3.145461328
FBgn0000061	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8.0	2.0	2.0	11.0	2L	al	785	248	0.234550139
FBgn0000061	ZI	12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	12;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0	15.0	13.0	2.0	11.0	2L	al	785	248	0.234550139
FBgn0000063	RAL	4;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0	5;1;0;1;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0	13.0	9.0	18.0	22.0	3R	ald	1341	300	1.632212091
FBgn0000063	ZI	18;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3	34;4;3;0;0;0;0;2;0;1;0;0;0;0;0;2;0;1;0;1	48.0	25.0	14.0	19.0	3R	ald	1341	300	1.632212091
FBgn0000064	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1	11.0	0.0	7.0	7.0	3R	Ald	940	117	1.196955534
FBgn0000064	ZI	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	15;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1	23.0	2.0	7.0	6.0	3R	Ald	940	117	1.196955534
FBgn0000071	RAL	1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	6.0	2.0	4.0	6.0	3R	Ama	655	179	0.0
FBgn0000071	ZI	4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0	5;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0	8.0	6.0	6.0	10.0	3R	Ama	655	179	0.0
FBgn0000075	RAL	7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;0;1;0;0;1;0;0;1;2;1;1;0;0;2;0;0;0;0;0	14.0	7.0	1.0	20.0	2L	amd	977	245	0.469100277
FBgn0000075	ZI	14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	15;3;1;0;0;0;2;1;0;1;0;2;1;1;0;1;0;1;0;0	29.0	15.0	1.0	18.0	2L	amd	977	245	0.469100277
FBgn0000077	RAL	1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0	3.0	3.0	3.0	14.0	X	amx	678	135	2.9837820039999996
FBgn0000077	ZI	6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	7;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1	11.0	7.0	3.0	14.0	X	amx	678	135	2.9837820039999996
FBgn0000078	RAL	3;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0	4;3;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0	10.0	7.0	5.0	8.0	2R	Amy-d	964	247	2.92853296
FBgn0000078	ZI	14;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1	31;5;2;3;2;3;1;0;0;0;0;0;0;0;0;0;0;0;1;2	50.0	19.0	10.0	8.0	2R	Amy-d	964	247	2.92853296
FBgn0000079	RAL	3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1	5;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2	12.0	8.0	5.0	4.0	2R	Amy-p	1175	276	2.92853296
FBgn0000079	ZI	9;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2	11;4;1;3;2;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0	25.0	15.0	6.0	1.0	2R	Amy-p	1175	276	2.92853296
FBgn0000083	RAL	1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0	4;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0	7.0	2.0	0.0	3.0	3R	AnxB9	620	145	1.088141394
FBgn0000083	ZI	1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0	14;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0	20.0	2.0	0.0	2.0	3R	AnxB9	620	145	1.088141394
FBgn0000084	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	AnxB10	835	0	2.712529095
FBgn0000084	ZI	6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0	7.0	6.0	2.0	11.0	X	AnxB10	835	0	2.712529095
FBgn0000092	RAL	4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0	9.0	5.0	13.0	9.0	X	CG2650	607	0	2.079605639
FBgn0000092	ZI	22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	18;3;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1	28.0	27.0	12.0	8.0	X	CG2650	607	0	2.079605639
FBgn0000094	RAL	3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0	2.0	4.0	8.0	0.0	3R	Anp	114	26	2.829167625
FBgn0000094	ZI	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	4.0	3.0	8.0	0.0	3R	Anp	114	26	2.829167625
FBgn0000097	RAL	7;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0	8;1;2;1;2;2;0;2;1;1;0;2;1;0;0;0;1;0;0;0	24.0	9.0	7.0	16.0	2L	aop	1722	413	1.64185097
FBgn0000097	ZI	13;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	28;3;2;3;2;2;1;1;1;2;0;0;1;0;0;0;0;0;0;1	47.0	17.0	7.0	14.0	2L	aop	1722	413	1.64185097
FBgn0000099	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	2R	ap	1289	0	1.193106021
FBgn0000099	ZI	0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0	7.0	1.0	0.0	10.0	2R	ap	1289	0	1.193106021
FBgn0000100	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1.0	2.0	0.0	9.0	3L	RpLP0	615	159	0.0
FBgn0000100	ZI	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	2.0	1.0	10.0	3L	RpLP0	615	159	0.0
FBgn0000108	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	Appl	1714	436	0.0
FBgn0000108	ZI	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	12;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1	18.0	5.0	9.0	23.0	X	Appl	1714	436	0.0
FBgn0000109	RAL	2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0	5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	7.0	8.0	0.0	11.0	3L	Aprt	411	114	3.1843893089999997
FBgn0000109	ZI	11;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0	6;2;4;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1	18.0	15.0	0.0	8.0	3L	Aprt	411	114	3.1843893089999997
FBgn0000114	RAL	5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;1;1;1;0;1;0;1;1;1;1;1;0;2;0;0;0;0;1;0	22.0	6.0	8.0	5.0	2L	aret	1551	381	4.221902494
FBgn0000114	ZI	14;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0	26;2;1;1;2;1;0;0;2;0;1;1;1;0;1;0;0;0;0;0	39.0	17.0	8.0	5.0	2L	aret	1551	381	4.221902494
FBgn0000115	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	3.0	0.0	0.0	2.0	3L	Arl1	344	88	2.492130764
FBgn0000115	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5.0	0.0	0.0	2.0	3L	Arl1	344	88	2.492130764
FBgn0000116	RAL	12;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0	3;2;0;0;1;0;1;0;0;2;3;0;0;0;0;0;0;1;0;0	13.0	17.0	2.0	12.0	3L	Argk	1523	0	1.107613673
FBgn0000116	ZI	26;3;2;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0	27;3;1;2;1;2;1;1;0;0;0;0;0;0;0;1;0;0;1;0	40.0	35.0	2.0	10.0	3L	Argk	1523	0	1.107613673
FBgn0000117	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	arm	2182	0	0.18083527300000002
FBgn0000117	ZI	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0	7.0	1.0	2.0	4.0	X	arm	2182	0	0.18083527300000002
FBgn0000119	RAL	13;6;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1	23;17;4;2;7;2;3;5;1;4;3;4;2;4;0;3;2;1;0;2	89.0	24.0	2.0	60.0	2R	arr	3981	892	1.73542694
FBgn0000119	ZI	26;2;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0	61;14;6;5;4;5;6;4;4;4;0;2;1;2;1;1;4;0;4;3	131.0	32.0	3.0	56.0	2R	arr	3981	892	1.73542694
FBgn0000120	RAL	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2	3;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0	7.0	7.0	3.0	15.0	2L	Arr1	697	169	0.938200554
FBgn0000120	ZI	9;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1	5;2;1;0;2;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0	13.0	13.0	2.0	15.0	2L	Arr1	697	169	0.938200554
FBgn0000121	RAL	4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	16;3;3;0;2;2;1;0;1;0;0;0;1;1;1;0;1;0;0;2	34.0	5.0	0.0	5.0	3L	Arr2	966	204	3.6689702910000004
FBgn0000121	ZI	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	12;4;0;5;1;1;1;1;0;0;1;1;0;0;1;1;1;0;2;0	32.0	1.0	1.0	5.0	3L	Arr2	966	204	3.6689702910000004
FBgn0000137	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	ase	952	206	0.0
FBgn0000137	ZI	9;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0	5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	7.0	12.0	9.0	7.0	X	ase	952	206	0.0
FBgn0000139	RAL	3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0	5;1;0;1;0;1;0;1;0;2;3;2;0;0;0;0;0;0;0;1	17.0	5.0	6.0	20.0	3R	ash2	1071	248	2.611539346
FBgn0000139	ZI	6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	11;3;1;1;2;0;1;3;1;1;0;0;0;2;0;0;0;0;0;3	29.0	6.0	6.0	17.0	3R	ash2	1071	248	2.611539346
FBgn0000140	RAL	37;4;4;1;0;0;0;0;0;0;0;0;0;0;0;1;3;4;1;3	28;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2	42.0	58.0	42.0	51.0	3R	asp	3666	880	3.69968074
FBgn0000140	ZI	82;11;8;2;4;2;1;2;1;1;1;0;0;0;1;0;1;1;0;1	56;6;5;2;5;3;3;2;3;0;0;0;0;0;1;0;0;1;0;5	92.0	119.0	43.0	43.0	3R	asp	3666	880	3.69968074
FBgn0000146	RAL	4;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0	10;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0	15.0	7.0	93.0	32.0	2L	aub	2351	190	2.931876732
FBgn0000146	ZI	18;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;4	19;6;2;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1	32.0	27.0	86.0	32.0	2L	aub	2351	190	2.931876732
FBgn0000147	RAL	2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0	3;2;1;2;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0	11.0	8.0	10.0	17.0	3R	aur	788	198	0.7616989759999999
FBgn0000147	ZI	6;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0	9;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0	16.0	10.0	10.0	17.0	3R	aur	788	198	0.7616989759999999
FBgn0000150	RAL	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	1.0	1.0	5.0	3R	awd	447	0	0.0
FBgn0000150	ZI	2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	3.0	1.0	5.0	3R	awd	447	0	0.0
